시즌,제목,리뷰수,평점
1,Unaired Pilot,"11,642",8.7
1,A Study in Pink,"31,982",8.9
1,The Blind Banker,"27,599",7.9
1,The Great Game,"28,192",9.0
2,A Scandal in Belgravia,"40,034",9.4
2,The Hounds of Baskerville,"26,711",8.3
2,The Reichenbach Fall,"39,144",9.6
3,Many Happy Returns,"11,862",8.4
3,The Empty Hearse,"30,823",8.8
3,The Sign of Three,"27,744",8.9
3,His Last Vow,"30,857",9.2
4,The Abominable Bride,"35,006",8.0
4,The Six Thatchers,"24,907",7.6
4,The Lying Detective,"27,856",9.1
4,The Final Problem,"28,060",8.1
